,Hotel Name,Hotel Price,Hotel Bedrooms,Hotel Summery,Hotel Update Date
162, Lovely cottage in quiet location with poolLanguedoc-Roussillon, From £151 /Night," Cottage, Bedroom(s): 3, Sleeps: 6", Maison des Vignes is a peaceful cottage with everything you could need for a relaxing holiday., ID#: 1320 |  Last update: 22-Apr-2022
163, The Travellers RestCentre, From £43 /Night," House, Bedroom(s): 2, Sleeps: 4"," We have two bedrooms, one shower room with WC, kitchen/diner, small outdoor seating area, secure lockable barn suitable for motorcycles and bicycles, ample off road parking for cars", ID#: 1312 |  Last update: 20-Mar-2022
164, Peaceful 4 Bedroom House In Village 20 minutes from CoastLower-Normandy, From £750 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Large 4 bedroom family gite in picturesque village location which is peaceful but not isolated. The house is a short drive from a variety of coastal towns and convenient also for the Normandy beaches, ID#: 1311 |  Last update: 06-Jun-2022
165, La BouscaudiereLower-Normandy, From £475 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," A purpose built bespoke Gite, designed with the holiday maker in mind with home comforts, garden and patio.", ID#: 1298 |  Last update: 23-Feb-2022
166, Traditional stone built property with private salt water poolMidi-Pyrenees, From £686 /Week," House, Bedroom(s): 3, Sleeps: 6", Ker Sud: a traditional stone built property with a lovely large salt water private pool. The property consists of a main house and an annex and is rented out as one (no other guests on the property)., ID#: 1313 |  Last update: 20-Mar-2022
167, La Ville Josse- Charming house in large grounds with a pond, From £124 /Night," House, Bedroom(s): 3, Sleeps: 6"," La Ville Josse is a charming, spacious three-bedroom house in the Brittany countryside, ideal for tranquillity and relaxation yet close enough to beautiful beaches and interesting places to visit.", ID#: 1290 |  Last update: 04-May-2022
168, Le Mesnil GonfroyLower-Normandy," From £1,809 /Week"," House, Bedroom(s): 6, Sleeps: 14", A stunning holiday house in Nomandy with large garden and heated pool. The house has 6 bedrooms and 4 bathrooms. Also a ground floor ensuite bedroom., ID#: 1316 |  Last update: 03-May-2022
169, Beautiful character gite in an unspoilt undiscovered corner of France.Midi-Pyrenees, From £341 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," Situated off the beaten track in a small hamlet yet only 5kms from the village of Rignac, La Fage is surrounded by beautiful open countryside thus being the perfect place to unwind, relax and explore.", ID#: 1292 |  Last update: 03-Apr-2022
170, La Petite MadeleineBrittany, From £476 /Week," House, Bedroom(s): 2, Sleeps: 4"," Nestled in a quiet backstreet, but just 100metres from the bustling port at Dinan, is La Petite Madeleine.
This quaint house, with many original features, sleeps four guests in two bedrooms", ID#: 1330 |  Last update: 19-May-2022
171, Lovely cottage in quiet location with poolLanguedoc-Roussillon, From £151 /Night," Cottage, Bedroom(s): 3, Sleeps: 6", Maison des Vignes is a peaceful cottage with everything you could need for a relaxing holiday., ID#: 1320 |  Last update: 22-Apr-2022
172, The Travellers RestCentre, From £43 /Night," House, Bedroom(s): 2, Sleeps: 4"," We have two bedrooms, one shower room with WC, kitchen/diner, small outdoor seating area, secure lockable barn suitable for motorcycles and bicycles, ample off road parking for cars", ID#: 1312 |  Last update: 20-Mar-2022
173, Peaceful 4 Bedroom House In Village 20 minutes from CoastLower-Normandy, From £750 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Large 4 bedroom family gite in picturesque village location which is peaceful but not isolated. The house is a short drive from a variety of coastal towns and convenient also for the Normandy beaches, ID#: 1311 |  Last update: 06-Jun-2022
174, La BouscaudiereLower-Normandy, From £475 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," A purpose built bespoke Gite, designed with the holiday maker in mind with home comforts, garden and patio.", ID#: 1298 |  Last update: 23-Feb-2022
175, Traditional stone built property with private salt water poolMidi-Pyrenees, From £686 /Week," House, Bedroom(s): 3, Sleeps: 6", Ker Sud: a traditional stone built property with a lovely large salt water private pool. The property consists of a main house and an annex and is rented out as one (no other guests on the property)., ID#: 1313 |  Last update: 20-Mar-2022
176, La Ville Josse- Charming house in large grounds with a pond, From £124 /Night," House, Bedroom(s): 3, Sleeps: 6"," La Ville Josse is a charming, spacious three-bedroom house in the Brittany countryside, ideal for tranquillity and relaxation yet close enough to beautiful beaches and interesting places to visit.", ID#: 1290 |  Last update: 04-May-2022
177, Le Mesnil GonfroyLower-Normandy," From £1,809 /Week"," House, Bedroom(s): 6, Sleeps: 14", A stunning holiday house in Nomandy with large garden and heated pool. The house has 6 bedrooms and 4 bathrooms. Also a ground floor ensuite bedroom., ID#: 1316 |  Last update: 03-May-2022
178, Beautiful character gite in an unspoilt undiscovered corner of France.Midi-Pyrenees, From £341 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," Situated off the beaten track in a small hamlet yet only 5kms from the village of Rignac, La Fage is surrounded by beautiful open countryside thus being the perfect place to unwind, relax and explore.", ID#: 1292 |  Last update: 03-Apr-2022
179, Le Logis Sainte-TerrePoitou-Charentes," From £2,600 /Week"," Farmhouse, Bedroom(s): 4, Sleeps: 8"," The property is a converted barn, a beautiful old stone property in the grounds of a 16th Century logis.
It has a private garden that overlooks the countryside.", ID#: 1309 |  Last update: 19-May-2022
180, Lovely cottage in quiet location with poolLanguedoc-Roussillon, From £151 /Night," Cottage, Bedroom(s): 3, Sleeps: 6", Maison des Vignes is a peaceful cottage with everything you could need for a relaxing holiday., ID#: 1320 |  Last update: 22-Apr-2022
181, The Travellers RestCentre, From £43 /Night," House, Bedroom(s): 2, Sleeps: 4"," We have two bedrooms, one shower room with WC, kitchen/diner, small outdoor seating area, secure lockable barn suitable for motorcycles and bicycles, ample off road parking for cars", ID#: 1312 |  Last update: 20-Mar-2022
182, Peaceful 4 Bedroom House In Village 20 minutes from CoastLower-Normandy, From £750 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Large 4 bedroom family gite in picturesque village location which is peaceful but not isolated. The house is a short drive from a variety of coastal towns and convenient also for the Normandy beaches, ID#: 1311 |  Last update: 06-Jun-2022
183, La BouscaudiereLower-Normandy, From £475 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," A purpose built bespoke Gite, designed with the holiday maker in mind with home comforts, garden and patio.", ID#: 1298 |  Last update: 23-Feb-2022
184, Traditional stone built property with private salt water poolMidi-Pyrenees, From £686 /Week," House, Bedroom(s): 3, Sleeps: 6", Ker Sud: a traditional stone built property with a lovely large salt water private pool. The property consists of a main house and an annex and is rented out as one (no other guests on the property)., ID#: 1313 |  Last update: 20-Mar-2022
185, La Ville Josse- Charming house in large grounds with a pond, From £124 /Night," House, Bedroom(s): 3, Sleeps: 6"," La Ville Josse is a charming, spacious three-bedroom house in the Brittany countryside, ideal for tranquillity and relaxation yet close enough to beautiful beaches and interesting places to visit.", ID#: 1290 |  Last update: 04-May-2022
186, Le Mesnil GonfroyLower-Normandy," From £1,809 /Week"," House, Bedroom(s): 6, Sleeps: 14", A stunning holiday house in Nomandy with large garden and heated pool. The house has 6 bedrooms and 4 bathrooms. Also a ground floor ensuite bedroom., ID#: 1316 |  Last update: 03-May-2022
187, Beautiful character gite in an unspoilt undiscovered corner of France.Midi-Pyrenees, From £341 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," Situated off the beaten track in a small hamlet yet only 5kms from the village of Rignac, La Fage is surrounded by beautiful open countryside thus being the perfect place to unwind, relax and explore.", ID#: 1292 |  Last update: 03-Apr-2022
188, Le Logis Sainte-TerrePoitou-Charentes," From £2,600 /Week"," Farmhouse, Bedroom(s): 4, Sleeps: 8"," The property is a converted barn, a beautiful old stone property in the grounds of a 16th Century logis.
It has a private garden that overlooks the countryside.", ID#: 1309 |  Last update: 19-May-2022
189, Gites de Camors - 3 FarmhousesBrittany, From £260 /Night," Gite, Bedroom(s): 7, Sleeps: 15", Our 17th century 3 Farmhouses have been tastefully restored using local materials. All are fully equipped with all the home comforts and appliances that you might need for your well deserved holiday., ID#: 1307 |  Last update: 09-Feb-2022
190, The Travellers RestCentre, From £43 /Night," House, Bedroom(s): 2, Sleeps: 4"," We have two bedrooms, one shower room with WC, kitchen/diner, small outdoor seating area, secure lockable barn suitable for motorcycles and bicycles, ample off road parking for cars", ID#: 1312 |  Last update: 20-Mar-2022
191, Peaceful 4 Bedroom House In Village 20 minutes from CoastLower-Normandy, From £750 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Large 4 bedroom family gite in picturesque village location which is peaceful but not isolated. The house is a short drive from a variety of coastal towns and convenient also for the Normandy beaches, ID#: 1311 |  Last update: 06-Jun-2022
192, La BouscaudiereLower-Normandy, From £475 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," A purpose built bespoke Gite, designed with the holiday maker in mind with home comforts, garden and patio.", ID#: 1298 |  Last update: 23-Feb-2022
193, Traditional stone built property with private salt water poolMidi-Pyrenees, From £686 /Week," House, Bedroom(s): 3, Sleeps: 6", Ker Sud: a traditional stone built property with a lovely large salt water private pool. The property consists of a main house and an annex and is rented out as one (no other guests on the property)., ID#: 1313 |  Last update: 20-Mar-2022
194, La Ville Josse- Charming house in large grounds with a pond, From £124 /Night," House, Bedroom(s): 3, Sleeps: 6"," La Ville Josse is a charming, spacious three-bedroom house in the Brittany countryside, ideal for tranquillity and relaxation yet close enough to beautiful beaches and interesting places to visit.", ID#: 1290 |  Last update: 04-May-2022
195, Le Mesnil GonfroyLower-Normandy," From £1,809 /Week"," House, Bedroom(s): 6, Sleeps: 14", A stunning holiday house in Nomandy with large garden and heated pool. The house has 6 bedrooms and 4 bathrooms. Also a ground floor ensuite bedroom., ID#: 1316 |  Last update: 03-May-2022
196, Beautiful character gite in an unspoilt undiscovered corner of France.Midi-Pyrenees, From £341 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," Situated off the beaten track in a small hamlet yet only 5kms from the village of Rignac, La Fage is surrounded by beautiful open countryside thus being the perfect place to unwind, relax and explore.", ID#: 1292 |  Last update: 03-Apr-2022
197, Le Logis Sainte-TerrePoitou-Charentes," From £2,600 /Week"," Farmhouse, Bedroom(s): 4, Sleeps: 8"," The property is a converted barn, a beautiful old stone property in the grounds of a 16th Century logis.
It has a private garden that overlooks the countryside.", ID#: 1309 |  Last update: 19-May-2022
198, Gites de Camors - 3 FarmhousesBrittany, From £260 /Night," Gite, Bedroom(s): 7, Sleeps: 15", Our 17th century 3 Farmhouses have been tastefully restored using local materials. All are fully equipped with all the home comforts and appliances that you might need for your well deserved holiday., ID#: 1307 |  Last update: 09-Feb-2022
199, La Belle Etoile-La GrangePays de la Loire, From £550 /Week," Gite, Bedroom(s): 2, Sleeps: 4", Contemporary barn conversion in a quiet village with spectacular views over the countryside of the valley of the Vienne. A perfect holiday location to explore the historic area of the Loire Valley, ID#: 1279 |  Last update: 10-Mar-2022
200, Peaceful 4 Bedroom House In Village 20 minutes from CoastLower-Normandy, From £750 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Large 4 bedroom family gite in picturesque village location which is peaceful but not isolated. The house is a short drive from a variety of coastal towns and convenient also for the Normandy beaches, ID#: 1311 |  Last update: 06-Jun-2022
201, La BouscaudiereLower-Normandy, From £475 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," A purpose built bespoke Gite, designed with the holiday maker in mind with home comforts, garden and patio.", ID#: 1298 |  Last update: 23-Feb-2022
202, Traditional stone built property with private salt water poolMidi-Pyrenees, From £686 /Week," House, Bedroom(s): 3, Sleeps: 6", Ker Sud: a traditional stone built property with a lovely large salt water private pool. The property consists of a main house and an annex and is rented out as one (no other guests on the property)., ID#: 1313 |  Last update: 20-Mar-2022
203, La Ville Josse- Charming house in large grounds with a pond, From £124 /Night," House, Bedroom(s): 3, Sleeps: 6"," La Ville Josse is a charming, spacious three-bedroom house in the Brittany countryside, ideal for tranquillity and relaxation yet close enough to beautiful beaches and interesting places to visit.", ID#: 1290 |  Last update: 04-May-2022
204, Le Mesnil GonfroyLower-Normandy," From £1,809 /Week"," House, Bedroom(s): 6, Sleeps: 14", A stunning holiday house in Nomandy with large garden and heated pool. The house has 6 bedrooms and 4 bathrooms. Also a ground floor ensuite bedroom., ID#: 1316 |  Last update: 03-May-2022
205, Beautiful character gite in an unspoilt undiscovered corner of France.Midi-Pyrenees, From £341 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," Situated off the beaten track in a small hamlet yet only 5kms from the village of Rignac, La Fage is surrounded by beautiful open countryside thus being the perfect place to unwind, relax and explore.", ID#: 1292 |  Last update: 03-Apr-2022
206, Le Logis Sainte-TerrePoitou-Charentes," From £2,600 /Week"," Farmhouse, Bedroom(s): 4, Sleeps: 8"," The property is a converted barn, a beautiful old stone property in the grounds of a 16th Century logis.
It has a private garden that overlooks the countryside.", ID#: 1309 |  Last update: 19-May-2022
207, Gites de Camors - 3 FarmhousesBrittany, From £260 /Night," Gite, Bedroom(s): 7, Sleeps: 15", Our 17th century 3 Farmhouses have been tastefully restored using local materials. All are fully equipped with all the home comforts and appliances that you might need for your well deserved holiday., ID#: 1307 |  Last update: 09-Feb-2022
208, La Belle Etoile-La GrangePays de la Loire, From £550 /Week," Gite, Bedroom(s): 2, Sleeps: 4", Contemporary barn conversion in a quiet village with spectacular views over the countryside of the valley of the Vienne. A perfect holiday location to explore the historic area of the Loire Valley, ID#: 1279 |  Last update: 10-Mar-2022
209, Le Pont des Camisards - in the heart of the CevennesLanguedoc-Roussillon, From £400 /Week," House, Bedroom(s): 2, Sleeps: 5", The house is situated on the outskirts of the pretty village of Mialet. It overlooks the Gardon de Mialet river in the Cévennes. Mialet is between the historic towns of Anduze and St-Jean-du-Gard, ID#: 1253 |  Last update: 29-Mar-2021
210, La BouscaudiereLower-Normandy, From £475 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," A purpose built bespoke Gite, designed with the holiday maker in mind with home comforts, garden and patio.", ID#: 1298 |  Last update: 23-Feb-2022
211, Traditional stone built property with private salt water poolMidi-Pyrenees, From £686 /Week," House, Bedroom(s): 3, Sleeps: 6", Ker Sud: a traditional stone built property with a lovely large salt water private pool. The property consists of a main house and an annex and is rented out as one (no other guests on the property)., ID#: 1313 |  Last update: 20-Mar-2022
212, La Ville Josse- Charming house in large grounds with a pond, From £124 /Night," House, Bedroom(s): 3, Sleeps: 6"," La Ville Josse is a charming, spacious three-bedroom house in the Brittany countryside, ideal for tranquillity and relaxation yet close enough to beautiful beaches and interesting places to visit.", ID#: 1290 |  Last update: 04-May-2022
213, Le Mesnil GonfroyLower-Normandy," From £1,809 /Week"," House, Bedroom(s): 6, Sleeps: 14", A stunning holiday house in Nomandy with large garden and heated pool. The house has 6 bedrooms and 4 bathrooms. Also a ground floor ensuite bedroom., ID#: 1316 |  Last update: 03-May-2022
214, Beautiful character gite in an unspoilt undiscovered corner of France.Midi-Pyrenees, From £341 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," Situated off the beaten track in a small hamlet yet only 5kms from the village of Rignac, La Fage is surrounded by beautiful open countryside thus being the perfect place to unwind, relax and explore.", ID#: 1292 |  Last update: 03-Apr-2022
215, Le Logis Sainte-TerrePoitou-Charentes," From £2,600 /Week"," Farmhouse, Bedroom(s): 4, Sleeps: 8"," The property is a converted barn, a beautiful old stone property in the grounds of a 16th Century logis.
It has a private garden that overlooks the countryside.", ID#: 1309 |  Last update: 19-May-2022
216, Gites de Camors - 3 FarmhousesBrittany, From £260 /Night," Gite, Bedroom(s): 7, Sleeps: 15", Our 17th century 3 Farmhouses have been tastefully restored using local materials. All are fully equipped with all the home comforts and appliances that you might need for your well deserved holiday., ID#: 1307 |  Last update: 09-Feb-2022
217, La Belle Etoile-La GrangePays de la Loire, From £550 /Week," Gite, Bedroom(s): 2, Sleeps: 4", Contemporary barn conversion in a quiet village with spectacular views over the countryside of the valley of the Vienne. A perfect holiday location to explore the historic area of the Loire Valley, ID#: 1279 |  Last update: 10-Mar-2022
218, Le Pont des Camisards - in the heart of the CevennesLanguedoc-Roussillon, From £400 /Week," House, Bedroom(s): 2, Sleeps: 5", The house is situated on the outskirts of the pretty village of Mialet. It overlooks the Gardon de Mialet river in the Cévennes. Mialet is between the historic towns of Anduze and St-Jean-du-Gard, ID#: 1253 |  Last update: 29-Mar-2021
219, Maison Bear- village house ideal for family fun and relaxation," From £1,276 /Week"," House, Bedroom(s): 6, Sleeps: 12"," Chez Bear, a striking Maison de Maitre in a Normandy village, ideal for fun family times with spacious indoor space and an enclosed garden. Close to beautiful beaches & interesting places to visit.", ID#: 1286 |  Last update: 14-Apr-2022
220, Traditional stone built property with private salt water poolMidi-Pyrenees, From £686 /Week," House, Bedroom(s): 3, Sleeps: 6", Ker Sud: a traditional stone built property with a lovely large salt water private pool. The property consists of a main house and an annex and is rented out as one (no other guests on the property)., ID#: 1313 |  Last update: 20-Mar-2022
221, La Ville Josse- Charming house in large grounds with a pond, From £124 /Night," House, Bedroom(s): 3, Sleeps: 6"," La Ville Josse is a charming, spacious three-bedroom house in the Brittany countryside, ideal for tranquillity and relaxation yet close enough to beautiful beaches and interesting places to visit.", ID#: 1290 |  Last update: 04-May-2022
222, Le Mesnil GonfroyLower-Normandy," From £1,809 /Week"," House, Bedroom(s): 6, Sleeps: 14", A stunning holiday house in Nomandy with large garden and heated pool. The house has 6 bedrooms and 4 bathrooms. Also a ground floor ensuite bedroom., ID#: 1316 |  Last update: 03-May-2022
223, Beautiful character gite in an unspoilt undiscovered corner of France.Midi-Pyrenees, From £341 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," Situated off the beaten track in a small hamlet yet only 5kms from the village of Rignac, La Fage is surrounded by beautiful open countryside thus being the perfect place to unwind, relax and explore.", ID#: 1292 |  Last update: 03-Apr-2022
224, Le Logis Sainte-TerrePoitou-Charentes," From £2,600 /Week"," Farmhouse, Bedroom(s): 4, Sleeps: 8"," The property is a converted barn, a beautiful old stone property in the grounds of a 16th Century logis.
It has a private garden that overlooks the countryside.", ID#: 1309 |  Last update: 19-May-2022
225, Gites de Camors - 3 FarmhousesBrittany, From £260 /Night," Gite, Bedroom(s): 7, Sleeps: 15", Our 17th century 3 Farmhouses have been tastefully restored using local materials. All are fully equipped with all the home comforts and appliances that you might need for your well deserved holiday., ID#: 1307 |  Last update: 09-Feb-2022
226, La Belle Etoile-La GrangePays de la Loire, From £550 /Week," Gite, Bedroom(s): 2, Sleeps: 4", Contemporary barn conversion in a quiet village with spectacular views over the countryside of the valley of the Vienne. A perfect holiday location to explore the historic area of the Loire Valley, ID#: 1279 |  Last update: 10-Mar-2022
227, Le Pont des Camisards - in the heart of the CevennesLanguedoc-Roussillon, From £400 /Week," House, Bedroom(s): 2, Sleeps: 5", The house is situated on the outskirts of the pretty village of Mialet. It overlooks the Gardon de Mialet river in the Cévennes. Mialet is between the historic towns of Anduze and St-Jean-du-Gard, ID#: 1253 |  Last update: 29-Mar-2021
228, Maison Bear- village house ideal for family fun and relaxation," From £1,276 /Week"," House, Bedroom(s): 6, Sleeps: 12"," Chez Bear, a striking Maison de Maitre in a Normandy village, ideal for fun family times with spacious indoor space and an enclosed garden. Close to beautiful beaches & interesting places to visit.", ID#: 1286 |  Last update: 14-Apr-2022
229, A beautiful character Aveyron gite with private heated swimming poolMidi-Pyrenees, From £475 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," Situated off the beaten track in a small hamlet yet only 5kms from the village of Rignac, La Fage is surrounded by beautiful open countryside thus being the perfect place to unwind, relax and explore.", ID#: 1293 |  Last update: 03-Apr-2022
230, La Ville Josse- Charming house in large grounds with a pond, From £124 /Night," House, Bedroom(s): 3, Sleeps: 6"," La Ville Josse is a charming, spacious three-bedroom house in the Brittany countryside, ideal for tranquillity and relaxation yet close enough to beautiful beaches and interesting places to visit.", ID#: 1290 |  Last update: 04-May-2022
231, Le Mesnil GonfroyLower-Normandy," From £1,809 /Week"," House, Bedroom(s): 6, Sleeps: 14", A stunning holiday house in Nomandy with large garden and heated pool. The house has 6 bedrooms and 4 bathrooms. Also a ground floor ensuite bedroom., ID#: 1316 |  Last update: 03-May-2022
232, Beautiful character gite in an unspoilt undiscovered corner of France.Midi-Pyrenees, From £341 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," Situated off the beaten track in a small hamlet yet only 5kms from the village of Rignac, La Fage is surrounded by beautiful open countryside thus being the perfect place to unwind, relax and explore.", ID#: 1292 |  Last update: 03-Apr-2022
233, Le Logis Sainte-TerrePoitou-Charentes," From £2,600 /Week"," Farmhouse, Bedroom(s): 4, Sleeps: 8"," The property is a converted barn, a beautiful old stone property in the grounds of a 16th Century logis.
It has a private garden that overlooks the countryside.", ID#: 1309 |  Last update: 19-May-2022
234, Gites de Camors - 3 FarmhousesBrittany, From £260 /Night," Gite, Bedroom(s): 7, Sleeps: 15", Our 17th century 3 Farmhouses have been tastefully restored using local materials. All are fully equipped with all the home comforts and appliances that you might need for your well deserved holiday., ID#: 1307 |  Last update: 09-Feb-2022
235, La Belle Etoile-La GrangePays de la Loire, From £550 /Week," Gite, Bedroom(s): 2, Sleeps: 4", Contemporary barn conversion in a quiet village with spectacular views over the countryside of the valley of the Vienne. A perfect holiday location to explore the historic area of the Loire Valley, ID#: 1279 |  Last update: 10-Mar-2022
236, Le Pont des Camisards - in the heart of the CevennesLanguedoc-Roussillon, From £400 /Week," House, Bedroom(s): 2, Sleeps: 5", The house is situated on the outskirts of the pretty village of Mialet. It overlooks the Gardon de Mialet river in the Cévennes. Mialet is between the historic towns of Anduze and St-Jean-du-Gard, ID#: 1253 |  Last update: 29-Mar-2021
237, Maison Bear- village house ideal for family fun and relaxation," From £1,276 /Week"," House, Bedroom(s): 6, Sleeps: 12"," Chez Bear, a striking Maison de Maitre in a Normandy village, ideal for fun family times with spacious indoor space and an enclosed garden. Close to beautiful beaches & interesting places to visit.", ID#: 1286 |  Last update: 14-Apr-2022
238, A beautiful character Aveyron gite with private heated swimming poolMidi-Pyrenees, From £475 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," Situated off the beaten track in a small hamlet yet only 5kms from the village of Rignac, La Fage is surrounded by beautiful open countryside thus being the perfect place to unwind, relax and explore.", ID#: 1293 |  Last update: 03-Apr-2022
239," Chez Goret Gites Gite Magic - luxurious, exclusive adult accommodationPoitou-Charentes", From £560 /Week," Gite, Bedroom(s): 1, Sleeps: 2", Gite Magic is a one bed luxury gite set in large secluded gardens which comes with use of a 10m x 4m pool with beautiful views over the surrounding valley providing an oasis of calm., ID#: 1322 |  Last update: 21-Jun-2022
240, Le Mesnil GonfroyLower-Normandy," From £1,809 /Week"," House, Bedroom(s): 6, Sleeps: 14", A stunning holiday house in Nomandy with large garden and heated pool. The house has 6 bedrooms and 4 bathrooms. Also a ground floor ensuite bedroom., ID#: 1316 |  Last update: 03-May-2022
241, Beautiful character gite in an unspoilt undiscovered corner of France.Midi-Pyrenees, From £341 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," Situated off the beaten track in a small hamlet yet only 5kms from the village of Rignac, La Fage is surrounded by beautiful open countryside thus being the perfect place to unwind, relax and explore.", ID#: 1292 |  Last update: 03-Apr-2022
242, Le Logis Sainte-TerrePoitou-Charentes," From £2,600 /Week"," Farmhouse, Bedroom(s): 4, Sleeps: 8"," The property is a converted barn, a beautiful old stone property in the grounds of a 16th Century logis.
It has a private garden that overlooks the countryside.", ID#: 1309 |  Last update: 19-May-2022
243, Gites de Camors - 3 FarmhousesBrittany, From £260 /Night," Gite, Bedroom(s): 7, Sleeps: 15", Our 17th century 3 Farmhouses have been tastefully restored using local materials. All are fully equipped with all the home comforts and appliances that you might need for your well deserved holiday., ID#: 1307 |  Last update: 09-Feb-2022
244, La Belle Etoile-La GrangePays de la Loire, From £550 /Week," Gite, Bedroom(s): 2, Sleeps: 4", Contemporary barn conversion in a quiet village with spectacular views over the countryside of the valley of the Vienne. A perfect holiday location to explore the historic area of the Loire Valley, ID#: 1279 |  Last update: 10-Mar-2022
245, Le Pont des Camisards - in the heart of the CevennesLanguedoc-Roussillon, From £400 /Week," House, Bedroom(s): 2, Sleeps: 5", The house is situated on the outskirts of the pretty village of Mialet. It overlooks the Gardon de Mialet river in the Cévennes. Mialet is between the historic towns of Anduze and St-Jean-du-Gard, ID#: 1253 |  Last update: 29-Mar-2021
246, Maison Bear- village house ideal for family fun and relaxation," From £1,276 /Week"," House, Bedroom(s): 6, Sleeps: 12"," Chez Bear, a striking Maison de Maitre in a Normandy village, ideal for fun family times with spacious indoor space and an enclosed garden. Close to beautiful beaches & interesting places to visit.", ID#: 1286 |  Last update: 14-Apr-2022
247, A beautiful character Aveyron gite with private heated swimming poolMidi-Pyrenees, From £475 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," Situated off the beaten track in a small hamlet yet only 5kms from the village of Rignac, La Fage is surrounded by beautiful open countryside thus being the perfect place to unwind, relax and explore.", ID#: 1293 |  Last update: 03-Apr-2022
248," Chez Goret Gites Gite Magic - luxurious, exclusive adult accommodationPoitou-Charentes", From £560 /Week," Gite, Bedroom(s): 1, Sleeps: 2", Gite Magic is a one bed luxury gite set in large secluded gardens which comes with use of a 10m x 4m pool with beautiful views over the surrounding valley providing an oasis of calm., ID#: 1322 |  Last update: 21-Jun-2022
249, Traditional Village House in pretty Laroque-des-AlberesLanguedoc-Roussillon, From £518 /Week," House, Bedroom(s): 3, Sleeps: 6"," A traditional stone-faced village house, typical of the area and in the heart of the friendly village of Laroque des Alberes, within easy reach of Perpignan, the Mediterranean beaches and Spain.", ID#: 1255 |  Last update: 02-Nov-2021
250, Beautiful character gite in an unspoilt undiscovered corner of France.Midi-Pyrenees, From £341 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," Situated off the beaten track in a small hamlet yet only 5kms from the village of Rignac, La Fage is surrounded by beautiful open countryside thus being the perfect place to unwind, relax and explore.", ID#: 1292 |  Last update: 03-Apr-2022
251, Le Logis Sainte-TerrePoitou-Charentes," From £2,600 /Week"," Farmhouse, Bedroom(s): 4, Sleeps: 8"," The property is a converted barn, a beautiful old stone property in the grounds of a 16th Century logis.
It has a private garden that overlooks the countryside.", ID#: 1309 |  Last update: 19-May-2022
252, Gites de Camors - 3 FarmhousesBrittany, From £260 /Night," Gite, Bedroom(s): 7, Sleeps: 15", Our 17th century 3 Farmhouses have been tastefully restored using local materials. All are fully equipped with all the home comforts and appliances that you might need for your well deserved holiday., ID#: 1307 |  Last update: 09-Feb-2022
253, La Belle Etoile-La GrangePays de la Loire, From £550 /Week," Gite, Bedroom(s): 2, Sleeps: 4", Contemporary barn conversion in a quiet village with spectacular views over the countryside of the valley of the Vienne. A perfect holiday location to explore the historic area of the Loire Valley, ID#: 1279 |  Last update: 10-Mar-2022
254, Le Pont des Camisards - in the heart of the CevennesLanguedoc-Roussillon, From £400 /Week," House, Bedroom(s): 2, Sleeps: 5", The house is situated on the outskirts of the pretty village of Mialet. It overlooks the Gardon de Mialet river in the Cévennes. Mialet is between the historic towns of Anduze and St-Jean-du-Gard, ID#: 1253 |  Last update: 29-Mar-2021
255, Maison Bear- village house ideal for family fun and relaxation," From £1,276 /Week"," House, Bedroom(s): 6, Sleeps: 12"," Chez Bear, a striking Maison de Maitre in a Normandy village, ideal for fun family times with spacious indoor space and an enclosed garden. Close to beautiful beaches & interesting places to visit.", ID#: 1286 |  Last update: 14-Apr-2022
256, A beautiful character Aveyron gite with private heated swimming poolMidi-Pyrenees, From £475 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," Situated off the beaten track in a small hamlet yet only 5kms from the village of Rignac, La Fage is surrounded by beautiful open countryside thus being the perfect place to unwind, relax and explore.", ID#: 1293 |  Last update: 03-Apr-2022
257," Chez Goret Gites Gite Magic - luxurious, exclusive adult accommodationPoitou-Charentes", From £560 /Week," Gite, Bedroom(s): 1, Sleeps: 2", Gite Magic is a one bed luxury gite set in large secluded gardens which comes with use of a 10m x 4m pool with beautiful views over the surrounding valley providing an oasis of calm., ID#: 1322 |  Last update: 21-Jun-2022
